Depth_m,Distance_to_Shore,Turbidity,Windspeed,Cyclone_Frequency,Temperature_Maximum,SSTA_DHW,Percent_Bleaching
10.0,6076.0,0.0295,8.0,56.52,304.48,0.0,56.6
12.0,244.6,0.0928,6.0,74.88,304.48,7.49,56.7
15.4,912.32,0.0273,6.0,49.1,304.6,1.32,56.8
8.0,36.67,0.0501,6.0,46.39,303.77,12.9,56.8
22.0,1959.7,0.0353,4.0,65.66,304.35,12.35,56.8
11.25,751.72,0.0366,9.0,54.59,304.26,4.4,56.9
3.65,373.08,0.0401,6.0,51.1,304.63,2.65,57.1
12.6,1581.23,0.041,5.0,46.93,307.65,0.0,57.1
13.4,1581.23,0.041,4.0,46.93,307.65,11.76,57.1
7.3,596.64,0.0286,5.0,49.1,304.62,1.82,57.1
9.1,909.45,0.028,5.0,50.37,304.6,1.35,57.1
9.85,1006.85,0.028,4.0,50.37,304.6,4.82,57.1
8.2,1136.24,0.0279,7.0,49.1,304.39,8.95,57.1
9.95,1112.23,0.0279,4.0,49.1,304.39,5.58,57.1
7.3,1104.91,0.0273,5.0,49.1,304.62,1.82,57.1
12.0,265.51,0.0631,8.0,65.39,303.76,0.0,57.1
2.2,8274.36,0.1203,8.0,58.42,306.04,39.86,57.1
8.2,2471.96,0.0631,6.0,65.39,303.76,10.41,57.1
4.9,619.93,0.0443,6.0,65.39,303.7,12.29,57.2
15.0,150.06,0.0348,4.0,65.66,304.35,0.0,57.4
8.5,6923.2,0.0251,4.0,54.15,304.6,5.35,57.5
12.5,8179.06,0.0532,8.0,58.42,306.73,4.2,57.6
21.5,6138.84,0.0462,7.0,61.96,304.1,0.0,57.7
6.0,1004.93,0.0432,7.0,42.61,304.3,14.76,57.8
14.0,118.93,0.043,4.0,54.3,303.6,12.32,57.8
6.0,1004.93,0.0432,7.0,42.61,304.3,14.76,57.87
9.2,706.52,0.0273,6.0,49.1,304.6,0.0,57.9
11.35,1492.58,0.0273,7.0,49.1,304.62,5.39,57.9
8.8,1252.44,0.0392,4.0,46.93,307.65,0.0,57.9
12.0,2353.67,0.1203,6.0,51.32,304.35,1.04,57.9
1.38,774.69,0.0694,5.0,42.48,306.04,3.35,58.0
10.0,94.91,0.0578,4.0,85.57,304.42,0.0,58.0
22.0,1959.7,0.0353,4.0,65.66,304.35,12.35,58.0
3.0,240.4,0.0703,10.0,57.93,304.16,11.74,58.0
2.0,273.85,0.0466,6.0,59.77,304.02,8.49,58.1
10.0,784.52,0.0286,6.0,49.1,304.62,0.0,58.1
5.05,1259.2,0.041,5.0,46.93,307.65,0.0,58.3
5.35,265.94,0.0279,4.0,49.1,304.39,5.58,58.3
4.6,1197.33,0.0409,6.0,46.93,306.32,3.67,58.3
8.8,1260.9,0.0447,6.0,36.82,305.36,4.39,58.3
9.45,451.72,0.0279,7.0,49.1,304.6,6.63,58.3
