Depth_m,Distance_to_Shore,Turbidity,Windspeed,Cyclone_Frequency,Temperature_Maximum,SSTA_DHW,Percent_Bleaching
10.0,22.02,0.0353,4.0,47.94,302.15,0.0,0.0
8.0,22.02,0.0353,6.0,47.94,302.15,3.58,0.0
8.0,22.02,0.0353,6.0,47.94,302.15,3.58,0.0
10.0,22.02,0.0353,5.0,47.94,302.26,7.13,0.0
10.0,22.02,0.0353,5.0,47.94,302.26,7.13,0.0
10.0,22.02,0.0353,5.0,47.94,302.26,11.78,0.0
10.0,22.02,0.0353,5.0,47.94,302.26,11.78,0.0
5.5,22.02,0.0353,3.0,47.94,302.15,2.84,0.0
5.5,22.02,0.0353,3.0,47.94,302.15,2.84,0.0
10.0,22.02,0.0353,4.0,47.94,302.15,0.64,0.0
10.0,22.02,0.0353,4.0,47.94,302.15,0.64,0.0
10.0,125.35,0.0353,4.0,47.94,302.15,0.64,0.0
10.0,125.35,0.0353,4.0,47.94,302.15,0.64,0.0
10.0,125.35,0.0353,6.0,47.94,302.15,9.34,0.0
10.0,125.35,0.0353,6.0,47.94,302.15,9.34,0.0
5.0,125.35,0.0353,5.0,47.94,302.15,7.15,0.0
5.0,125.35,0.0353,5.0,47.94,302.15,7.15,0.0
10.0,125.35,0.0353,6.0,47.94,302.15,12.23,0.0
10.0,125.35,0.0353,6.0,47.94,302.15,12.23,0.0
10.0,125.35,0.0353,5.0,47.94,302.15,7.15,0.0
10.0,125.35,0.0353,5.0,47.94,302.15,7.15,0.0
10.0,150.86,0.0353,6.0,47.94,302.15,6.16,0.0
10.0,150.86,0.0353,6.0,47.94,302.15,6.16,0.0
10.0,150.86,0.0353,6.0,47.94,302.15,7.83,0.0
10.0,150.86,0.0353,6.0,47.94,302.15,7.83,0.0
5.0,31.89,0.0353,5.0,47.94,302.26,10.32,0.0
5.0,31.89,0.0353,5.0,47.94,302.26,10.32,0.0
10.0,31.89,0.0353,5.0,47.94,302.26,1.35,0.0
10.0,31.89,0.0353,5.0,47.94,302.26,1.35,0.0
5.0,31.89,0.0353,2.0,47.94,302.15,0.0,0.0
5.0,31.89,0.0353,2.0,47.94,302.15,0.0,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,0.64,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,0.64,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,0.64,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,0.64,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,0.0,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,0.0,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,15.4,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,15.4,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,15.4,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,15.4,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,1.16,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,1.16,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,1.16,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,1.16,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,0.25,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,0.25,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,1.8,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,1.8,0.0
10.0,31.89,0.0353,2.0,47.94,302.15,0.0,0.0
10.0,31.89,0.0353,2.0,47.94,302.15,0.0,0.0
5.0,31.89,0.0353,5.0,47.94,302.26,11.78,0.0
5.0,31.89,0.0353,5.0,47.94,302.26,11.78,0.0
10.0,31.89,0.0353,3.0,47.94,302.26,8.36,0.0
10.0,31.89,0.0353,3.0,47.94,302.26,8.36,0.0
5.0,31.89,0.0353,4.0,47.94,302.15,0.0,0.0
5.0,31.89,0.0353,4.0,47.94,302.15,0.0,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,2.72,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,2.72,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,8.08,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,8.08,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,1.8,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,1.8,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,0.25,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,0.25,0.0
6.5,31.89,0.0353,4.0,47.94,302.15,2.6,0.0
6.5,31.89,0.0353,4.0,47.94,302.15,2.6,0.0
10.0,31.89,0.0353,4.0,47.94,302.15,0.0,0.0
10.0,31.89,0.0353,4.0,47.94,302.15,0.0,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,0.38,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,0.38,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,2.72,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,2.72,0.0
10.4,31.89,0.0353,4.0,47.94,302.15,2.6,0.0
10.4,31.89,0.0353,4.0,47.94,302.15,2.6,0.0
10.0,31.89,0.0353,3.0,47.94,302.15,24.06,0.0
10.0,31.89,0.0353,3.0,47.94,302.15,24.06,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,7.15,0.0
5.0,31.89,0.0353,5.0,47.94,302.15,7.15,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,3.96,0.0
10.0,31.89,0.0353,5.0,47.94,302.15,3.96,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,9.34,0.0
5.0,31.89,0.0353,6.0,47.94,302.15,9.34,0.0
5.0,31.89,0.0353,3.0,47.94,302.15,24.06,0.0
5.0,31.89,0.0353,3.0,47.94,302.15,24.06,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,6.16,0.0
10.0,31.89,0.0353,6.0,47.94,302.15,6.16,0.0
10.0,84.68,0.0353,5.0,47.94,302.15,7.15,0.0
10.0,84.68,0.0353,5.0,47.94,302.15,7.15,0.0
5.0,84.68,0.0353,6.0,47.94,302.15,5.87,0.0
5.0,84.68,0.0353,6.0,47.94,302.15,5.87,0.0
10.0,84.68,0.0353,6.0,47.94,302.15,12.23,0.0
10.0,84.68,0.0353,6.0,47.94,302.15,12.23,0.0
5.0,84.68,0.0353,6.0,47.94,302.15,12.23,0.0
5.0,84.68,0.0353,6.0,47.94,302.15,12.23,0.0
5.0,84.68,0.0353,5.0,47.94,302.15,7.15,0.0
5.0,84.68,0.0353,5.0,47.94,302.15,7.15,0.0
5.0,84.68,0.0353,3.0,47.94,302.15,24.06,0.0
5.0,84.68,0.0353,3.0,47.94,302.15,24.06,0.0
10.0,84.68,0.0353,3.0,47.94,302.15,24.06,0.0
10.0,84.68,0.0353,3.0,47.94,302.15,24.06,0.0
5.0,84.68,0.0353,5.0,47.94,302.15,2.72,0.0
5.0,84.68,0.0353,5.0,47.94,302.15,2.72,0.0
10.0,84.68,0.0353,5.0,47.94,302.15,2.72,0.0
10.0,84.68,0.0353,5.0,47.94,302.15,2.72,0.0
10.0,84.68,0.0353,6.0,47.94,302.15,5.87,0.0
10.0,84.68,0.0353,6.0,47.94,302.15,5.87,0.0
10.0,84.68,0.0353,4.0,47.94,302.15,0.64,0.0
10.0,84.68,0.0353,4.0,47.94,302.15,0.64,0.0
5.0,84.68,0.0353,4.0,47.94,302.15,0.64,0.0
5.0,84.68,0.0353,4.0,47.94,302.15,0.64,0.0
5.0,33.36,0.0353,5.0,47.94,302.45,9.54,0.0
5.0,33.36,0.0353,5.0,47.94,302.45,9.54,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,9.54,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,9.54,0.0
5.0,33.36,0.0353,4.0,47.94,302.45,3.86,0.0
5.0,33.36,0.0353,4.0,47.94,302.45,3.86,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,1.38,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,1.38,0.0
5.0,33.36,0.0353,5.0,47.94,302.45,1.38,0.0
5.0,33.36,0.0353,5.0,47.94,302.45,1.38,0.0
5.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
5.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,7.98,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,7.98,0.0
5.0,33.36,0.0353,6.0,47.94,302.45,0.0,0.0
5.0,33.36,0.0353,6.0,47.94,302.45,0.0,0.0
10.0,33.36,0.0353,4.0,47.94,302.45,3.86,0.0
10.0,33.36,0.0353,4.0,47.94,302.45,3.86,0.0
5.0,33.36,0.0353,4.0,47.94,302.45,15.37,0.0
5.0,33.36,0.0353,4.0,47.94,302.45,15.37,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
10.0,33.36,0.0353,5.0,47.94,302.45,0.0,0.0
5.0,33.36,0.0353,6.0,47.94,302.45,11.03,0.0
5.0,33.36,0.0353,6.0,47.94,302.45,11.03,0.0
10.0,33.36,0.0353,4.0,47.94,302.45,15.37,0.0
10.0,33.36,0.0353,4.0,47.94,302.45,15.37,0.0
10.0,60.54,0.0351,5.0,47.95,301.84,5.91,0.0
10.0,60.54,0.0351,5.0,47.95,301.84,5.91,0.0
5.0,60.54,0.0351,5.0,47.95,301.84,5.91,0.0
5.0,60.54,0.0351,5.0,47.95,301.84,5.91,0.0
10.0,60.54,0.0351,4.0,47.95,301.84,4.45,0.0
10.0,60.54,0.0351,4.0,47.95,301.84,4.45,0.0
5.0,60.54,0.0351,4.0,47.95,301.84,4.45,0.0
5.0,60.54,0.0351,4.0,47.95,301.84,4.45,0.0
5.0,233.83,0.057,6.0,48.03,305.1339739603011,1.35,0.0
5.0,233.83,0.057,6.0,48.03,305.1339739603011,1.35,0.0
10.0,204.06,0.0302,3.0,52.04,304.99,2.57,0.0
10.0,204.06,0.0302,3.0,52.04,304.99,2.57,0.0
10.0,204.06,0.0302,5.0,52.04,304.99,1.0,0.0
10.0,204.06,0.0302,5.0,52.04,304.99,1.0,0.0
10.0,142.96,0.0302,4.0,52.04,304.99,1.06,0.0
10.0,142.96,0.0302,4.0,52.04,304.99,1.06,0.0
10.0,142.96,0.0302,4.0,52.04,304.99,1.0,0.0
10.0,142.96,0.0302,4.0,52.04,304.99,1.0,0.0
10.0,142.96,0.0302,5.0,52.04,304.99,1.38,0.0
10.0,142.96,0.0302,5.0,52.04,304.99,1.38,0.0
10.0,142.96,0.0302,5.0,52.04,304.99,0.0,0.0
10.0,142.96,0.0302,5.0,52.04,304.99,0.0,0.0
10.0,1205.03,0.0247,4.0,52.04,304.92,0.0,0.0
10.0,1205.03,0.0247,4.0,52.04,304.92,0.0,0.0
10.0,1205.03,0.0247,3.0,52.04,304.92,5.29,0.0
10.0,1205.03,0.0247,3.0,52.04,304.92,5.29,0.0
10.0,1205.03,0.0247,8.0,52.04,304.92,3.94,0.0
10.0,1205.03,0.0247,8.0,52.04,304.92,3.94,0.0
10.0,136.37,0.0296,2.0,52.04,304.92,4.66,0.0
10.0,136.37,0.0296,2.0,52.04,304.92,4.66,0.0
10.0,96675.28,0.0237,5.0,50.02,304.86,8.12,0.0
10.0,96675.28,0.0237,5.0,50.02,304.86,8.12,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,0.0,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,0.0,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,3.42,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,3.42,0.0
10.0,96675.28,0.0237,4.0,50.02,304.86,1.34,0.0
10.0,96675.28,0.0237,4.0,50.02,304.86,1.34,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,0.0,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,0.0,0.0
10.0,96675.28,0.0237,4.0,50.02,304.86,2.5,0.0
10.0,96675.28,0.0237,4.0,50.02,304.86,2.5,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,0.0,0.0
10.0,96675.28,0.0237,3.0,50.02,304.86,0.0,0.0
10.0,96675.28,0.0237,4.0,50.02,304.86,1.06,0.0
10.0,96675.28,0.0237,4.0,50.02,304.86,1.06,0.0
10.0,184.75,0.0222,3.0,52.04,304.94,3.93,0.0
10.0,184.75,0.0222,3.0,52.04,304.94,3.93,0.0
10.0,184.75,0.0222,4.0,52.04,304.94,0.0,0.0
10.0,184.75,0.0222,4.0,52.04,304.94,0.0,0.0
10.0,184.75,0.0222,3.0,52.04,304.94,2.29,0.0
10.0,184.75,0.0222,3.0,52.04,304.94,2.29,0.0
10.0,897.89,0.0222,4.0,52.04,304.94,2.08,0.0
10.0,897.89,0.0222,4.0,52.04,304.94,2.08,0.0
10.0,897.89,0.0222,3.0,52.04,304.94,0.0,0.0
10.0,897.89,0.0222,3.0,52.04,304.94,0.0,0.0
10.0,690.32,0.0239,3.0,52.04,304.94,2.77,0.0
10.0,690.32,0.0239,3.0,52.04,304.94,2.77,0.0
10.0,690.32,0.0239,3.0,52.04,304.94,3.93,0.0
10.0,690.32,0.0239,3.0,52.04,304.94,3.93,0.0
10.0,747.48,0.028,3.0,51.97,306.55,8.92,0.0
10.0,747.48,0.028,3.0,51.97,306.55,8.92,0.0
10.0,747.48,0.028,3.0,51.97,306.55,0.0,0.0
10.0,747.48,0.028,3.0,51.97,306.55,0.0,0.0
10.0,747.48,0.028,3.0,51.97,306.55,0.0,0.0
10.0,747.48,0.028,3.0,51.97,306.55,0.0,0.0
10.0,781.63,0.0295,3.0,51.97,305.87,4.82,0.0
10.0,781.63,0.0295,3.0,51.97,305.87,4.82,0.0
10.0,781.63,0.0295,3.0,51.97,305.87,0.84,0.0
10.0,781.63,0.0295,3.0,51.97,305.87,0.84,0.0
10.0,781.63,0.0295,9.0,51.97,305.87,3.49,0.0
10.0,781.63,0.0295,9.0,51.97,305.87,3.49,0.0
10.0,781.63,0.0295,4.0,51.97,305.87,2.25,0.0
10.0,781.63,0.0295,4.0,51.97,305.87,2.25,0.0
10.0,1517.3,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,1517.3,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,1517.3,0.0295,7.0,51.97,305.87,2.85,0.0
10.0,1517.3,0.0295,7.0,51.97,305.87,2.85,0.0
10.0,1517.3,0.0295,9.0,51.97,305.87,3.49,0.0
10.0,1517.3,0.0295,9.0,51.97,305.87,3.49,0.0
10.0,1517.3,0.0295,4.0,51.97,305.87,2.25,0.0
10.0,1517.3,0.0295,4.0,51.97,305.87,2.25,0.0
10.0,1517.3,0.0295,7.0,51.97,305.87,0.0,0.0
10.0,1517.3,0.0295,7.0,51.97,305.87,0.0,0.0
10.0,1517.3,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,1517.3,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,195.45,0.0281,3.0,51.97,306.55,0.0,0.0
10.0,195.45,0.0281,3.0,51.97,306.55,0.0,0.0
10.0,195.45,0.0281,3.0,51.97,306.55,2.67,0.0
10.0,195.45,0.0281,3.0,51.97,306.55,2.67,0.0
10.0,195.45,0.0281,3.0,51.97,306.55,8.92,0.0
10.0,195.45,0.0281,3.0,51.97,306.55,8.92,0.0
10.0,365.7,0.0565,4.0,51.97,305.87,1.45,0.0
10.0,365.7,0.0565,4.0,51.97,305.87,1.45,0.0
10.0,365.7,0.0565,3.0,51.97,305.87,0.0,0.0
10.0,365.7,0.0565,3.0,51.97,305.87,0.0,0.0
10.0,485.7,0.0565,3.0,51.97,305.87,0.0,0.0
10.0,485.7,0.0565,3.0,51.97,305.87,0.0,0.0
10.0,485.7,0.0565,3.0,51.97,305.87,2.98,0.0
10.0,485.7,0.0565,3.0,51.97,305.87,2.98,0.0
10.0,485.7,0.0565,3.0,51.97,305.87,1.4,0.0
10.0,485.7,0.0565,3.0,51.97,305.87,1.4,0.0
10.0,98814.66,0.024,5.0,49.72,305.1,1.2,0.0
10.0,98814.66,0.024,5.0,49.72,305.1,1.2,0.0
10.0,777.97,0.0232,2.0,52.04,304.99,2.24,0.0
10.0,777.97,0.0232,2.0,52.04,304.99,2.24,0.0
10.0,124.05,0.0302,4.0,52.04,304.95,4.31,0.0
10.0,124.05,0.0302,4.0,52.04,304.95,4.31,0.0
10.0,124.05,0.0302,5.0,52.04,304.95,0.0,0.0
10.0,124.05,0.0302,5.0,52.04,304.95,0.0,0.0
10.0,124.05,0.0302,5.0,52.04,304.95,1.14,0.0
10.0,124.05,0.0302,5.0,52.04,304.95,1.14,0.0
10.0,217.6,0.0296,3.0,52.04,304.92,3.59,0.0
10.0,217.6,0.0296,3.0,52.04,304.92,3.59,0.0
10.0,217.6,0.0296,3.0,52.04,304.92,0.0,0.0
10.0,217.6,0.0296,3.0,52.04,304.92,0.0,0.0
10.0,149.44,0.0247,5.0,52.04,304.92,0.0,0.0
10.0,149.44,0.0247,5.0,52.04,304.92,0.0,0.0
10.0,149.44,0.0247,6.0,52.04,304.92,4.11,0.0
10.0,149.44,0.0247,6.0,52.04,304.92,4.11,0.0
10.0,344.91,0.025,3.0,52.04,304.98,2.82,0.0
10.0,344.91,0.025,3.0,52.04,304.98,2.82,0.0
10.0,344.91,0.025,3.0,52.04,304.98,0.0,0.0
10.0,344.91,0.025,3.0,52.04,304.98,0.0,0.0
10.0,344.91,0.025,3.0,52.04,304.98,0.0,0.0
10.0,344.91,0.025,3.0,52.04,304.98,0.0,0.0
10.0,266.98,0.025,4.0,52.04,304.98,4.83,0.0
10.0,266.98,0.025,4.0,52.04,304.98,4.83,0.0
10.0,923.2,0.0282,3.0,51.97,306.55,0.0,0.0
10.0,923.2,0.0282,3.0,51.97,306.55,0.0,0.0
10.0,111.76,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,111.76,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,111.76,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,111.76,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,111.76,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,111.76,0.0295,5.0,51.97,305.87,0.0,0.0
10.0,281.28,0.028,3.0,51.97,306.55,0.0,0.0
10.0,281.28,0.028,3.0,51.97,306.55,0.0,0.0
10.0,436.22,0.0565,3.0,51.97,305.87,0.0,0.0
10.0,436.22,0.0565,3.0,51.97,305.87,0.0,0.0
10.0,670.56,0.026,3.0,51.97,306.55,1.14,0.0
10.0,670.56,0.026,3.0,51.97,306.55,1.14,0.0
10.0,99294.93,0.024,3.0,49.72,305.1,4.47,0.0
10.0,99294.93,0.024,3.0,49.72,305.1,4.47,0.0
3.0,358.11,0.048,3.0,47.95,305.26,1.36,0.0
3.0,358.11,0.048,3.0,47.95,305.26,1.36,0.0
3.0,51904.73,0.0232,3.0,51.15,305.51,2.07,0.0
3.0,51904.73,0.0232,3.0,51.15,305.51,2.07,0.0
5.0,2533.52,0.0729,8.0,55.64,303.87,1.31,0.0
5.0,2533.52,0.0729,8.0,55.64,303.87,1.31,0.0
6.0,2533.52,0.0729,7.0,55.64,303.87,4.31,0.0
6.0,2533.52,0.0729,7.0,55.64,303.87,4.31,0.0
6.0,2533.52,0.0729,5.0,55.64,303.87,0.26,0.0
6.0,2533.52,0.0729,5.0,55.64,303.87,0.26,0.0
10.0,2533.52,0.0729,5.0,55.64,303.87,0.26,0.0
10.0,2533.52,0.0729,5.0,55.64,303.87,0.26,0.0
10.0,2533.52,0.0729,7.0,55.64,303.87,4.31,0.0
10.0,2533.52,0.0729,7.0,55.64,303.87,4.31,0.0
5.0,2343.09,0.0428,6.0,42.61,304.35,1.18,0.0
5.0,2343.09,0.0428,6.0,42.61,304.35,1.18,0.0
5.0,2343.09,0.0428,6.0,42.61,304.35,2.21,0.0
5.0,2343.09,0.0428,6.0,42.61,304.35,2.21,0.0
6.0,2343.09,0.0428,4.0,42.61,304.35,9.94,0.0
6.0,2343.09,0.0428,4.0,42.61,304.35,9.94,0.0
6.0,2343.09,0.0428,5.0,42.61,304.35,6.23,0.0
6.0,2343.09,0.0428,5.0,42.61,304.35,6.23,0.0
5.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,999.49,0.0582,7.0,43.95,304.16,0.0,0.0
10.0,999.49,0.0582,7.0,43.95,304.16,0.0,0.0
10.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,999.49,0.0582,6.0,43.95,304.16,2.93,0.0
10.0,999.49,0.0582,6.0,43.95,304.16,2.93,0.0
5.0,999.49,0.0582,6.0,43.95,304.16,2.93,0.0
5.0,999.49,0.0582,6.0,43.95,304.16,2.93,0.0
10.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,999.49,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,999.49,0.0582,7.0,43.95,304.16,0.0,0.0
5.0,999.49,0.0582,7.0,43.95,304.16,0.0,0.0
5.0,286.87,0.0582,8.0,43.95,304.16,7.71,0.0
5.0,286.87,0.0582,8.0,43.95,304.16,7.71,0.0
10.0,286.87,0.0582,8.0,43.95,304.16,7.71,0.0
10.0,286.87,0.0582,8.0,43.95,304.16,7.71,0.0
5.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,286.87,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,286.87,0.0582,4.0,43.95,304.16,0.0,0.0
5.0,286.87,0.0582,4.0,43.95,304.16,0.0,0.0
10.0,286.87,0.0582,4.0,43.95,304.16,0.0,0.0
10.0,286.87,0.0582,4.0,43.95,304.16,0.0,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,8.72,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,8.72,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,2.93,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,2.93,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,2.93,0.0
5.0,313.57,0.0555,6.0,43.95,304.16,2.93,0.0
10.0,313.57,0.0555,3.0,43.95,304.16,1.45,0.0
10.0,313.57,0.0555,3.0,43.95,304.16,1.45,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,8.72,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,8.72,0.0
10.0,313.57,0.0555,5.0,43.95,304.16,5.65,0.0
10.0,313.57,0.0555,5.0,43.95,304.16,5.65,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
10.0,313.57,0.0555,6.0,43.95,304.16,0.0,0.0
5.0,313.57,0.0555,3.0,43.95,304.16,1.45,0.0
5.0,313.57,0.0555,3.0,43.95,304.16,1.45,0.0
10.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
5.0,661.4,0.0582,5.0,43.95,304.16,0.0,0.0
10.0,661.4,0.0582,8.0,43.95,304.16,7.71,0.0
10.0,661.4,0.0582,8.0,43.95,304.16,7.71,0.0
5.0,661.4,0.0582,8.0,43.95,304.16,7.71,0.0
5.0,661.4,0.0582,8.0,43.95,304.16,7.71,0.0
5.0,260.3,0.0582,2.0,43.95,304.98,0.0,0.0
5.0,260.3,0.0582,2.0,43.95,304.98,0.0,0.0
10.0,260.3,0.0582,6.0,43.95,304.98,7.73,0.0
10.0,260.3,0.0582,6.0,43.95,304.98,7.73,0.0
10.0,260.3,0.0582,2.0,43.95,304.98,0.0,0.0
10.0,260.3,0.0582,2.0,43.95,304.98,0.0,0.0
5.0,260.3,0.0582,5.0,43.95,304.98,0.0,0.0
5.0,260.3,0.0582,5.0,43.95,304.98,0.0,0.0
10.0,260.3,0.0582,5.0,43.95,304.98,0.0,0.0
10.0,260.3,0.0582,5.0,43.95,304.98,0.0,0.0
5.0,260.3,0.0582,4.0,43.95,304.98,0.0,0.0
5.0,260.3,0.0582,4.0,43.95,304.98,0.0,0.0
10.0,260.3,0.0582,4.0,43.95,304.98,0.0,0.0
10.0,260.3,0.0582,4.0,43.95,304.98,0.0,0.0
5.0,260.3,0.0582,6.0,43.95,304.98,7.73,0.0
5.0,260.3,0.0582,6.0,43.95,304.98,7.73,0.0
8.5,2227.71,0.0452,6.0,40.0,304.36,0.0,0.0
8.5,2227.71,0.0452,6.0,40.0,304.36,0.0,0.0
10.0,88.13,0.0497,7.0,45.12,304.55,0.28,0.0
10.0,88.13,0.0497,7.0,45.12,304.55,0.28,0.0
10.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
10.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
5.0,88.13,0.0497,8.0,45.12,304.55,6.38,0.0
10.0,88.13,0.0497,8.0,45.12,304.55,6.38,0.0
10.0,88.13,0.0497,8.0,45.12,304.55,6.38,0.0
10.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
10.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
5.0,88.13,0.0497,10.0,45.12,304.55,4.17,0.0
5.0,88.13,0.0497,10.0,45.12,304.55,4.17,0.0
10.0,88.13,0.0497,10.0,45.12,304.55,4.17,0.0
10.0,88.13,0.0497,10.0,45.12,304.55,4.17,0.0
5.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
5.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
5.0,88.13,0.0497,7.0,45.12,304.55,0.28,0.0
5.0,88.13,0.0497,7.0,45.12,304.55,0.28,0.0
5.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
5.0,88.13,0.0497,5.0,45.12,304.55,0.0,0.0
5.0,4652.22,0.055,3.0,41.4,305.14,3.93,0.0
5.0,4652.22,0.055,3.0,41.4,305.14,3.93,0.0
13.3,4652.22,0.055,3.0,41.4,305.14,3.93,0.0
13.3,4652.22,0.055,3.0,41.4,305.14,3.93,0.0
8.3,4652.22,0.055,7.0,41.4,305.14,0.0,0.0
8.3,4652.22,0.055,7.0,41.4,305.14,0.0,0.0
3.3,76.78,0.256,7.0,41.4,305.11,7.97,0.0
3.3,76.78,0.256,7.0,41.4,305.11,7.97,0.0
5.0,76.78,0.256,5.0,41.4,305.11,0.0,0.0
5.0,76.78,0.256,5.0,41.4,305.11,0.0,0.0
7.3,76.78,0.256,4.0,41.4,305.11,3.99,0.0
